Date,Open,High,Low,Close,Adj Close,Volume
22-01-19,10949.79981,10949.79981,10864.15039,10922.75,10922.75,300800
23-01-19,10931.04981,10944.79981,10811.9502,10831.5,10831.5,298900
24-01-19,10844.04981,10866.59961,10798.65039,10849.79981,10849.79981,361100
25-01-19,10859.75,10931.7002,10756.4502,10780.54981,10780.54981,463400
28-01-19,10792.4502,10804.4502,10630.9502,10661.54981,10661.54981,419700
29-01-19,10653.7002,10690.34961,10583.65039,10652.2002,10652.2002,356900
30-01-19,10702.25,10710.2002,10612.84961,10651.79981,10651.79981,410100
31-01-19,10690.54981,10838.04981,10678.54981,10830.9502,10830.9502,604800
01-02-19,10851.34961,10983.4502,10813.4502,10893.65039,10893.65039,482300
04-02-19,10876.75,10927.90039,10814.15039,10912.25,10912.25,318300
05-02-19,10908.65039,10956.7002,10886.7002,10934.34961,10934.34961,268100
06-02-19,10965.09961,11072.59961,10962.7002,11062.4502,11062.4502,298500
07-02-19,11070.4502,11118.09961,11043.59961,11069.40039,11069.40039,263500
08-02-19,11023.5,11041.2002,10925.4502,10943.59961,10943.59961,352800
11-02-19,10930.90039,10930.90039,10857.09961,10888.79981,10888.79981,286000
12-02-19,10879.7002,10910.90039,10823.79981,10831.40039,10831.40039,292300
14-02-19,10786.09961,10792.7002,10718.75,10746.04981,10746.04981,627000
15-02-19,10780.25,10785.75,10620.40039,10724.40039,10724.40039,521900
18-02-19,10738.65039,10759.90039,10628.40039,10640.9502,10640.9502,345400
19-02-19,10636.7002,10722.84961,10585.65039,10604.34961,10604.34961,291500
20-02-19,10655.4502,10752.7002,10646.40039,10735.4502,10735.4502,289200
21-02-19,10744.09961,10808.84961,10721.5,10789.84961,10789.84961,279600
22-02-19,10782.7002,10801.54981,10758.40039,10791.65039,10791.65039,396800
25-02-19,10813.25,10887.09961,10788.04981,10880.09961,10880.09961,385900
26-02-19,10775.29981,10888.75,10729.29981,10835.29981,10835.29981,415000
27-02-19,10881.2002,10939.7002,10751.2002,10806.65039,10806.65039,381100
28-02-19,10865.7002,10865.7002,10784.84961,10792.5,10792.5,644200
01-03-19,10842.65039,10877.90039,10823.09961,10863.5,10863.5,308500
05-03-19,10864.84961,10994.90039,10817,10987.4502,10987.4502,373200
06-03-19,11024.84961,11062.29981,10998.84961,11053,11053,372600
07-03-19,11077.9502,11089.04981,11027.09961,11058.2002,11058.2002,321200
08-03-19,11038.84961,11049,11008.9502,11035.40039,11035.40039,326600
11-03-19,11068.75,11180.90039,11059.84961,11168.04981,11168.04981,352200
12-03-19,11231.34961,11320.40039,11227,11301.2002,11301.2002,391300
13-03-19,11326.2002,11352.29981,11276.59961,11341.7002,11341.7002,383000
14-03-19,11382.5,11383.4502,11313.75,11343.25,11343.25,294500
15-03-19,11376.84961,11487,11370.79981,11426.84961,11426.84961,463700
18-03-19,11473.84961,11530.15039,11412.5,11462.2002,11462.2002,320300
19-03-19,11500.29981,11543.84961,11451.25,11532.40039,11532.40039,326100
20-03-19,11553.34961,11556.09961,11503.09961,11521.04981,11521.04981,366300
22-03-19,11549.2002,11572.79981,11434.54981,11456.90039,11456.90039,386200
25-03-19,11395.65039,11395.65039,11311.59961,11354.25,11354.25,294500
26-03-19,11375.2002,11496.75,11352.4502,11483.25,11483.25,282600
27-03-19,11531.4502,11546.2002,11413,11445.04981,11445.04981,350400
28-03-19,11463.65039,11588.5,11452.4502,11570,11570,527700
01-04-19,11665.2002,11738.09961,11644.75,11669.15039,11669.15039,379600
02-04-19,11711.54981,11729.34961,11655.84961,11713.2002,11713.2002,386100
03-04-19,11735.29981,11761,11629.15039,11643.9502,11643.9502,365800
04-04-19,11660.2002,11662.54981,11559.2002,11598,11598,349000
05-04-19,11638.40039,11689.65039,11609.5,11665.9502,11665.9502,266700
08-04-19,11704.34961,11710.29981,11549.09961,11604.5,11604.5,260900
09-04-19,11612.04981,11683.90039,11569.7002,11671.9502,11671.9502,300500
10-04-19,11646.84961,11680.04981,11571.75,11584.29981,11584.29981,359900
11-04-19,11592.54981,11606.7002,11550.54981,11596.7002,11596.7002,279800
12-04-19,11612.84961,11657.34961,11578.79981,11643.4502,11643.4502,246000
15-04-19,11667,11704.59961,11648.25,11690.34961,11690.34961,290000
16-04-19,11736.2002,11810.9502,11731.54981,11787.15039,11787.15039,354300
18-04-19,11856.15039,11856.15039,11738.5,11752.79981,11752.79981,339700
22-04-19,11727.04981,11727.04981,11583.9502,11594.4502,11594.4502,260400
23-04-19,11612.9502,11645.9502,11564.79981,11575.9502,11575.9502,272500
24-04-19,11601.5,11740.84961,11578.84961,11726.15039,11726.15039,335200
25-04-19,11735.7002,11796.75,11624.29981,11641.79981,11641.79981,604400
26-04-19,11683.75,11762.90039,11661.75,11754.65039,11754.65039,333500
30-04-19,11748.75,11756.25,11655.90039,11748.15039,11748.15039,532600
02-05-19,11725.54981,11789.29981,11699.54981,11724.75,11724.75,380300
03-05-19,11722.59961,11770.90039,11699.34961,11712.25,11712.25,305500
06-05-19,11605.79981,11632.54981,11571.34961,11598.25,11598.25,299000
07-05-19,11651.5,11657.04981,11484.4502,11497.90039,11497.90039,337500
08-05-19,11478.7002,11479.09961,11346.9502,11359.4502,11359.4502,372800
09-05-19,11322.40039,11357.59961,11255.04981,11301.79981,11301.79981,373000
10-05-19,11314.15039,11345.79981,11251.04981,11278.90039,11278.90039,387300
13-05-19,11258.7002,11300.2002,11125.59961,11148.2002,11148.2002,357600
14-05-19,11151.65039,11294.75,11108.29981,11222.04981,11222.04981,398100
15-05-19,11271.7002,11286.79981,11136.9502,11157,11157,414200
16-05-19,11180.34961,11281.54981,11143.34961,11257.09961,11257.09961,350700
17-05-19,11261.90039,11426.15039,11259.84961,11407.15039,11407.15039,412100
20-05-19,11651.90039,11845.2002,11591.7002,11828.25,11828.25,452100
21-05-19,11863.65039,11883.54981,11682.79981,11709.09961,11709.09961,381000
22-05-19,11727.9502,11784.79981,11682.40039,11737.90039,11737.90039,355900
23-05-19,11901.29981,12041.15039,11614.5,11657.04981,11657.04981,569000
24-05-19,11748,11859,11658.09961,11844.09961,11844.09961,374600
27-05-19,11855.5,11957.15039,11812.40039,11924.75,11924.75,348400
28-05-19,11958.34961,11958.54981,11864.90039,11928.75,11928.75,598300
